gap,date,break_hour,break_time,broken_level,broken_side,contract,direction,extension_pct,extension_pts,first_break_time,gap_minutes,held_all_day,ib1_first_break_side,ib1_first_break_time,ib1_outcome,ib1_range,ib2_break_time,ib2_first_break_side,ib2_outcome,ib2_range,min_distance_pct,min_distance_pts,ratio,second_break_time,side,unbroken_level
1,2024-10-30,,,20542.75,,,,17.9,28.0,,,,,,L_ONLY,,,,,156.75,,,,,LOW,
1,2024-10-31,,,20119.0,,,,43.9,109.75,,,,,,L_ONLY,,,,,250.25,,,,,LOW,
1,2024-11-01,,,20271.0,,,,8.0,17.0,,,,,,BOTH,,,,,213.5,,,,,HIGH,
1,2024-11-04,,,20204.25,,,,11.8,22.5,,,,,,BOTH,,,,,191.25,,,,,HIGH,
1,2024-11-05,,,20321.25,,,,29.6,51.5,,,,,,H_ONLY,,,,,174.25,,,,,HIGH,
1,2024-11-06,,,20805.25,,,,78.0,125.75,,,,,,BOTH,,,,,161.25,,,,,HIGH,
1,2024-11-07,,,21129.25,,,,98.8,123.75,,,,,,H_ONLY,,,,,125.25,,,,,HIGH,
1,2024-11-08,,,21232.25,,,,46.1,32.75,,,,,,H_ONLY,,,,,71.0,,,,,HIGH,
1,2024-11-11,,,21155.25,,,,41.5,57.0,,,,,,L_ONLY,,,,,137.5,,,,,LOW,
1,2024-11-12,,,21179.5,,,,172.7,124.75,,,,,,BOTH,,,,,72.25,,,,,LOW,
1,2024-11-13,,,21184.5,,,,65.6,84.0,,,,,,BOTH,,,,,128.0,,,,,HIGH,
1,2024-11-14,,,21040.5,,,,51.6,69.25,,,,,,BOTH,,,,,134.25,,,,,LOW,
1,2024-11-15,,,20582.75,,,,92.9,177.5,,,,,,L_ONLY,,,,,191.0,,,,,LOW,
1,2024-11-18,,,20653.0,,,,46.9,71.25,,,,,,H_ONLY,,,,,152.0,,,,,HIGH,
1,2024-11-19,,,20605.0,,,,193.3,187.5,,,,,,H_ONLY,,,,,97.0,,,,,HIGH,
1,2024-11-20,,,20756.0,,,,3.0,8.5,,,,,,L_ONLY,,,,,279.0,,,,,HIGH,
1,2024-11-21,,,20523.25,,,,2.4,9.0,,,,,,BOTH,,,,,382.5,,,,,LOW,
1,2024-11-22,,,20873.0,,,,4.6,7.0,,,,,,BOTH,,,,,150.75,,,,,HIGH,
1,2024-11-25,,,20869.25,,,,42.0,89.0,,,,,,BOTH,,,,,211.75,,,,,LOW,
1,2024-11-26,,,20919.5,,,,15.0,15.75,,,,,,BOTH,,,,,105.25,,,,,LOW,
1,2024-11-27,,,20765.5,,,,52.0,90.5,,,,,,L_ONLY,,,,,174.0,,,,,LOW,
1,2024-11-29,,,20973.5,,,,26.2,44.0,,,,,,BOTH,,,,,168.0,,,,,HIGH,
1,2024-12-02,,,21196.5,,,,37.2,63.25,,,,,,H_ONLY,,,,,170.0,,,,,HIGH,
1,2024-12-03,,,21234.0,,,,55.9,55.75,,,,,,BOTH,,,,,99.75,,,,,HIGH,
1,2024-12-04,,,21464.25,,,,110.9,84.25,,,,,,BOTH,,,,,76.0,,,,,HIGH,
1,2024-12-06,,,21645.25,,,,15.1,24.0,,,,,,H_ONLY,,,,,159.25,,,,,HIGH,
1,2024-12-09,,,21545.0,,,,105.1,109.0,,,,,,BOTH,,,,,103.75,,,,,LOW,
1,2024-12-10,,,21505.5,,,,150.9,152.75,,,,,,BOTH,,,,,101.25,,,,,LOW,
1,2024-12-11,,,21736.25,,,,51.3,83.75,,,,,,H_ONLY,,,,,163.25,,,,,HIGH,
1,2024-12-13,,,21790.0,,,,104.7,123.5,,,,,,BOTH,,,,,118.0,,,,,LOW,
1,2024-12-16,,,22290.75,,,,160.9,159.25,,,,,,H_ONLY,,,,,99.0,,,,,HIGH,
1,2024-12-19,,,21497.0,,,,66.7,134.0,,,,,,BOTH,,,,,200.75,,,,,LOW,
1,2024-12-20,,,21461.25,,,,116.7,351.0,,,,,,H_ONLY,,,,,300.75,,,,,HIGH,
1,2024-12-23,,,21675.5,,,,50.9,101.25,,,,,,BOTH,,,,,198.75,,,,,HIGH,
1,2024-12-24,,,21941.25,,,,76.4,108.5,,,,,,H_ONLY,,,,,142.0,,,,,HIGH,
1,2024-12-26,,,22008.0,,,,49.5,68.25,,,,,,BOTH,,,,,137.75,,,,,HIGH,
1,2024-12-27,,,21512.75,,,,4.0,14.0,,,,,,L_ONLY,,,,,350.25,,,,,LOW,
