config_id,label,step_dist,hard_stop,max_levels,max_contract_size,max_fades,max_loss_dollar,mll_pct,eval_viable,funded_t1_viable,funded_t3_viable,cycle_count,win_count,loss_count,win_rate,gross_er,net_er,sigma,max_consec_losses,p_pass_eval,p_pass_funded,prop_score,kelly_r,total_gross_pnl_ticks,total_net_pnl_dollars,depth_0_count,depth_1_count,depth_2_count,depth_3_count,reversal_count,hard_stop_count,eod_flatten_count
92,depth_3,25.0,262.0,3,8,0,10480.0,524.0,False,False,False,2315,2170,145,0.937365010799136,-28.26,-36.95,2312.29,2,0.391728,0.662049,-0.013046,-0.002764,-13084.0,-85531.0,1162,594,269,290,2151,106,58
119,depth_3,30.0,630.0,3,8,0,25200.0,1260.0,False,False,False,1430,1353,77,0.9461538461538461,-53.42,-62.05,3785.65,2,0.394812,0.663776,-0.013383,-0.001732,-15279.0,-88732.5,753,334,160,183,1345,28,57
127,depth_1,50.0,250.0,1,2,0,2500.0,125.0,False,False,False,787,545,242,0.6925031766200762,-22.48,-27.59,1546.56,9,0.386215,0.658948,-0.014566,-0.004614,-3539.0,-21713.0,426,361,0,0,524,213,50
134,depth_2,50.0,450.0,2,4,0,9000.0,450.0,False,False,False,633,536,97,0.8467614533965245,-48.54,-55.21,2846.11,2,0.391841,0.662113,-0.015838,-0.002726,-6145.0,-34946.0,346,144,143,0,523,53,57
129,depth_1,50.0,400.0,1,2,0,4000.0,200.0,False,False,False,673,516,157,0.7667161961367014,-34.73,-39.78,1937.69,5,0.387333,0.659579,-0.016763,-0.004238,-4675.0,-26773.5,375,298,0,0,495,121,57
97,depth_0,30.0,60.0,1,1,0,300.0,15.0,True,True,True,3839,1266,2573,0.3297733784839802,-5.16,-8.66,421.6,23,0.342726,0.633694,-0.01678,-0.019498,-3965.0,-33261.5,3839,0,0,0,1240,2560,39
117,depth_3,30.0,420.0,3,8,0,16800.0,840.0,False,False,False,1601,1505,96,0.9400374765771393,-62.36,-70.75,3207.48,2,0.391768,0.662072,-0.01801,-0.002751,-19967.0,-113268.0,852,373,192,184,1489,54,58
139,depth_3,50.0,438.0,3,8,0,17520.0,876.0,False,False,False,597,528,69,0.8844221105527639,-80.68,-89.37,3930.85,4,0.393073,0.662804,-0.018563,-0.002313,-9633.0,-53352.0,310,144,65,78,513,26,58
66,depth_3,20.0,140.0,3,8,0,5600.0,280.0,False,False,False,4032,3476,556,0.8621031746031746,-18.02,-24.94,1075.71,4,0.374348,0.6522,-0.018929,-0.008621,-14532.0,-100551.5,2067,979,986,0,3460,517,55
95,depth_3,25.0,525.0,3,8,0,21000.0,1050.0,False,False,False,1995,1905,90,0.9548872180451128,-78.91,-87.51,3368.47,2,0.39077,0.661512,-0.021212,-0.003085,-31487.0,-174585.0,1024,478,256,237,1889,48,58
113,depth_2,30.0,540.0,2,4,0,10800.0,540.0,False,False,False,1365,1249,116,0.915018315018315,-62.34,-69.15,2554.12,3,0.387327,0.659575,-0.022106,-0.00424,-17020.0,-94392.5,715,330,320,0,1238,69,58
112,depth_2,30.0,450.0,2,4,0,9000.0,450.0,False,False,False,1461,1333,128,0.9123887748117727,-56.85,-63.71,2337.79,2,0.386069,0.658866,-0.022251,-0.004663,-16612.0,-93080.5,769,337,355,0,1317,86,58
0,depth_0,10.0,10.0,1,1,0,50.0,2.5,True,True,True,43388,8954,34434,0.2063704250023048,0.57,-2.93,103.44,34,0.137464,0.477018,-0.023148,-0.109632,4925.0,-127233.0,43388,0,0,0,8930,34429,29
116,depth_3,30.0,315.0,3,8,0,12600.0,630.0,False,False,False,1680,1560,120,0.9285714285714286,-76.52,-84.94,2834.22,3,0.387359,0.659593,-0.024469,-0.004229,-25710.0,-142693.5,895,399,185,201,1544,79,57
89,depth_2,25.0,450.0,2,4,0,9000.0,450.0,False,False,False,1946,1800,146,0.9249743062692704,-58.26,-65.19,2174.52,3,0.383539,0.657435,-0.024476,-0.005514,-22676.0,-126851.5,999,469,478,0,1785,103,58
135,depth_2,50.0,600.0,2,4,0,12000.0,600.0,False,False,False,575,495,80,0.8608695652173913,-92.2,-99.01,3292.3,4,0.389074,0.660559,-0.024555,-0.003654,-10603.0,-56931.5,299,142,134,0,482,36,57
93,depth_3,25.0,350.0,3,8,0,14000.0,700.0,False,False,False,2262,2136,126,0.9442970822281167,-84.35,-92.97,2802.4,3,0.385854,0.658744,-0.027087,-0.004735,-38160.0,-210298.5,1151,564,271,276,2118,86,58
131,depth_1,50.0,600.0,1,2,0,6000.0,300.0,False,False,False,535,428,107,0.8,-79.73,-84.81,2358.38,4,0.381805,0.656452,-0.029361,-0.006099,-8531.0,-45371.0,294,241,0,0,413,66,56
48,depth_0,20.0,20.0,1,1,0,100.0,5.0,True,True,True,11097,2163,8934,0.1949175452825088,-3.78,-7.28,198.78,37,0.205035,0.53917,-0.02992,-0.073739,-8399.0,-80834.5,11097,0,0,0,2145,8931,21
138,depth_3,50.0,350.0,3,8,0,14000.0,700.0,False,False,False,679,560,119,0.8247422680412371,-95.97,-102.5,2620.25,3,0.382181,0.656665,-0.031941,-0.005972,-13033.0,-69599.5,383,150,146,0,542,82,55
101,depth_0,30.0,240.0,1,1,0,1200.0,60.0,True,True,True,1485,946,539,0.6370370370370371,-38.26,-41.76,848.21,8,0.332149,0.627312,-0.040198,-0.023217,-11363.0,-62012.5,1485,0,0,0,928,501,56
133,depth_2,50.0,375.0,2,4,0,7500.0,375.0,False,False,False,643,529,114,0.8227060653188181,-130.17,-136.88,2728.42,3,0.378085,0.654336,-0.040963,-0.007355,-16740.0,-88015.5,347,149,147,0,515,72,56
122,depth_0,50.0,150.0,1,1,0,750.0,37.5,True,True,True,1113,461,652,0.4141958670260557,-39.66,-43.16,846.37,9,0.329658,0.625794,-0.041635,-0.0241,-8828.0,-48035.5,1113,0,0,0,430,640,43
123,depth_0,50.0,200.0,1,1,0,1000.0,50.0,True,True,True,910,427,483,0.46923076923076923,-59.57,-63.07,974.77,8,0.322787,0.621573,-0.052826,-0.026549,-10841.0,-57390.0,910,0,0,0,403,455,52
