entry_bar,exit_bar,direction,entry_price,target_price,stop_price,target_offset,stop_offset,exit_type,pnl_points,pnl_dollar,close_at_exit,high_at_exit,low_at_exit,entry_date,entry_time,exit_date,exit_time,mean,stddev,innerTop,innerBot,outerTop,outerBot
26342,26348,short,25368.25,25357.8911,25373.4294,10.3589,5.1794,stop,-5.1794,-103.59,25375.5,25377.75,25372.25,10/10/2025,09:43:59.194001,10/10/2025,09:45:05.575002,25366.47,4.2786,25370.7486,25362.1914,25375.0272,25357.9128
26361,26366,short,25377.0,25361.5484,25384.7258,15.4516,7.7258,stop,-7.7258,-154.52,25385.5,25386.75,25381.25,10/10/2025,09:46:15.951003,10/10/2025,09:47:19.783000,25371.17,8.4181,25379.5881,25362.7519,25388.0061,25354.3339
26366,26377,short,25385.5,25368.6639,25393.9181,16.8361,8.4181,target,16.8361,336.72,25367.0,25371.0,25366.25,10/10/2025,09:47:19.783000,10/10/2025,09:49:27.579000,25373.675,8.1379,25381.8129,25365.5371,25389.9508,25357.3992
26378,26381,long,25363.75,25379.7889,25355.7306,16.0389,8.0194,stop,-8.0194,-160.39,25350.25,25359.75,25350.25,10/10/2025,09:49:34.384001,10/10/2025,09:49:47.650004,25373.525,8.5116,25382.0366,25365.0134,25390.5483,25356.5017
26392,26400,long,25344.25,25370.7636,25330.9932,26.5136,13.2568,stop,-13.2568,-265.14,25326.75,25335.0,25326.75,10/10/2025,09:50:38.298000,10/10/2025,09:51:28.023000,25364.205,17.9402,25382.1452,25346.2648,25400.0855,25328.3245
26401,26431,long,25329.75,25366.6746,25311.2877,36.9246,18.4623,reversal,17.25,345.0,25347.0,25347.25,25340.25,10/10/2025,09:51:30.030000,10/10/2025,09:56:34.086002,25339.83,6.8696,25346.6996,25332.9604,25353.5692,25326.0908
26431,26440,short,25347.0,25333.2608,25353.8696,13.7392,6.8696,stop,-6.8696,-137.39,25358.0,25358.0,25351.75,10/10/2025,09:56:34.086002,10/10/2025,09:58:28.678001,25339.89,7.0646,25346.9546,25332.8254,25354.0191,25325.7609
26448,26457,short,25360.75,25339.7949,25371.2276,20.9551,10.4776,target,20.9551,419.1,25338.0,25346.0,25337.5,10/10/2025,09:59:55.250027,10/10/2025,10:01:08.728001,25347.825,10.5381,25358.3631,25337.2869,25368.9011,25326.7489
26458,26461,long,25339.5,25360.6315,25328.9343,21.1315,10.5657,stop,-10.5657,-211.31,25326.0,25333.0,25326.0,10/10/2025,10:01:12.108000,10/10/2025,10:01:28.023000,25347.095,11.1981,25358.2931,25335.8969,25369.4912,25324.6988
26461,26462,long,25326.0,25348.3962,25314.8019,22.3962,11.1981,stop,-11.1981,-223.96,25316.0,25326.5,25312.0,10/10/2025,10:01:28.023000,10/10/2025,10:01:31.526001,25346.58,11.9958,25358.5758,25334.5842,25370.5715,25322.5885
26466,26498,long,25322.0,25350.2821,25307.859,28.2821,14.141,target,28.2821,565.64,25351.5,25351.75,25344.75,10/10/2025,10:01:39.409000,10/10/2025,10:07:39.881001,25336.64,12.7731,25349.4131,25323.8669,25362.1863,25311.0937
26498,26521,short,25351.5,25325.9537,25364.2731,25.5463,12.7731,reversal,21.5,430.0,25330.0,25336.75,25330.0,10/10/2025,10:07:39.881001,10/10/2025,10:13:22.294000,25340.9,7.5619,25348.4619,25333.3381,25356.0238,25325.7762
26521,26532,long,25330.0,25345.1238,25322.4381,15.1238,7.5619,stop,-7.5619,-151.24,25323.0,25327.5,25321.0,10/10/2025,10:13:22.294000,10/10/2025,10:15:39.662006,25339.415,8.9316,25348.3466,25330.4834,25357.2783,25321.5517
