block_class,offset,avg_avg_range_10,avg_band_width,avg_abs_mean_slope_10,avg_bw_change_10,avg_std100,win_rate,n_samples
HIGH,-10,10.117307692307692,24.888057769230766,0.20290384615392004,-0.9684507197463884,16.592038538461537,61.53846153846154,13
HIGH,-9,10.725000000000001,24.501496307692314,0.20042307692313507,-1.8336255629834535,16.33433084615385,53.84615384615385,13
HIGH,-8,10.526923076923076,21.73124946153846,0.20085576923072665,-2.6592799225513706,14.48749946153846,61.53846153846154,13
HIGH,-7,10.153846153846153,21.893671384615388,0.22930769230761844,-1.9299991699500372,14.595781076923076,61.53846153846154,13
HIGH,-6,10.63846153846154,23.972385923076924,0.28488461538458626,-1.1409505081967688,15.981590538461537,7.6923076923076925,13
HIGH,-5,9.98076923076923,27.77264069230769,0.3139711538461807,-0.20684832180076407,18.515093846153846,30.76923076923077,13
HIGH,-4,10.23653846153846,31.991811999999996,0.41097115384621313,-1.5363344279838709,21.327874538461536,46.15384615384615,13
HIGH,-3,10.398076923076925,32.108080538461536,0.33511538461531853,-0.7682189658178918,21.405387,30.76923076923077,13
HIGH,-2,11.148076923076925,27.77579146153846,0.2421346153846221,-0.5897533513429623,18.517194307692307,15.384615384615385,13
HIGH,-1,11.099999999999998,31.45193915384615,0.26468269230768215,2.225248799745517,20.967959461538463,38.46153846153847,13
LOW,-10,8.404166666666665,24.27699355555556,0.2855208333333191,-0.5435297987156179,16.18466238888889,41.66666666666667,36
LOW,-9,8.09513888888889,21.388886472222225,0.21395138888887633,-0.9873739585076245,14.259257638888888,33.33333333333333,36
LOW,-8,7.9659722222222245,23.090453333333333,0.2404305555555361,-0.42426310019160407,15.393635638888888,50.0,36
LOW,-7,7.8381944444444445,21.563024527777777,0.21504166666664887,-1.3265658326606398,14.375349666666665,47.22222222222222,36
LOW,-6,7.663194444444445,24.91761861111111,0.25094791666668037,-0.42039227190278416,16.61174577777778,50.0,36
LOW,-5,8.118055555555555,23.63426669444445,0.26341319444446626,-1.4125621127509105,15.756177833333332,55.55555555555556,36
LOW,-4,8.444444444444443,24.930416138888894,0.19965277777779797,-0.507911687787073,16.620277472222227,58.333333333333336,36
LOW,-3,8.530555555555555,24.252192888888892,0.23875347222224766,-1.0137774776630286,16.16812872222222,55.55555555555556,36
LOW,-2,8.40763888888889,24.543889916666668,0.25018749999994216,-1.2536546737689638,16.362593249999996,52.77777777777778,36
LOW,-1,8.495833333333332,22.919651888888886,0.2432604166666856,-1.419800949793706,15.279767944444444,47.22222222222222,36
