block_num,block_class,trades,wins,win_rate,total_pnl,avg_std100,avg_range_10,avg_band_width,avg_abs_slope_10,avg_abs_slope_20,avg_band_width_change,avg_mean_slope_10
1.0,LOW,20,6,30.0,-1401.88,8.91519045,4.25875,13.372785350000001,0.14521875000002182,0.143571875000016,0.09776840918261173,0.09411874999997963
2.0,MEDIUM,20,8,40.0,15.520000000000039,5.6033923,3.83875,8.40508845,0.09121249999998327,0.08242499999999382,-0.35975101795744086,0.021300000000064757
3.0,MEDIUM,20,10,50.0,899.9999999999999,7.471019750000001,4.654999999999999,11.2065297,0.09465624999998909,0.09418437499998618,-0.5614723503512213,0.002481250000037106
4.0,MEDIUM,20,8,40.0,-34.85999999999993,8.92924335,4.64,13.3938649,0.12893124999996872,0.11478124999999637,0.059153416008100826,-0.0578937500000211
5.0,MEDIUM,20,8,40.0,205.31,9.1015941,5.3675,13.6523912,0.1471625000000131,0.15515312499998798,-1.2527901718471948,-0.046599999999962165
6.0,LOW,20,7,35.0,-634.19,8.7040697,4.8575,13.056104450000001,0.13935625000000074,0.14309062500001346,-0.6183340108125087,-0.04894375000001673
7.0,MEDIUM,20,8,40.0,-491.0,8.2776646,4.8725000000000005,12.416496800000001,0.12423749999998109,0.131953125,-0.7694479865374324,0.039037500000013096
8.0,MEDIUM,20,10,50.0,187.20999999999987,12.13183605,6.407500000000001,18.197754,0.20578750000000584,0.2129343749999953,-1.3544808288877745,-0.018499999999949068
9.0,MEDIUM,20,11,55.0,1440.1299999999999,11.7617683,6.04625,17.64265225,0.15101249999999708,0.1538343750000149,-1.082556601586191,0.10680000000000292
10.0,MEDIUM,20,10,50.0,1234.08,14.8774556,6.83,22.31618335,0.29915000000000874,0.31602500000000877,-1.6910560849603655,-0.15481250000004368
11.0,MEDIUM,20,8,40.0,-404.5900000000001,13.862649300000001,7.501250000000001,20.793974,0.2144999999999527,0.2543999999999687,-2.009912989800929,0.08228750000003857
12.0,LOW,20,7,35.0,-1310.2599999999998,11.62282735,6.23375,17.43424105,0.21663750000006984,0.21909999999998037,-0.5146015562361002,0.03868750000008731
13.0,MEDIUM,20,9,45.0,203.01,10.02888415,5.415,15.043326249999998,0.14579375000001166,0.13124687500000617,-0.14763630492199767,-0.01211875000004511
14.0,MEDIUM,20,8,40.0,-41.72,8.69228065,4.6537500000000005,13.0384209,0.15226874999998471,0.15433750000000146,-1.4380200340917455,-0.0038812500000312833
15.0,MEDIUM,20,10,50.0,925.06,16.30978065,7.078749999999999,24.4646709,0.1702874999999585,0.1615593749999789,-0.39791209314421333,-0.01880000000002838
16.0,LOW,20,5,25.0,-1624.04,12.06546625,5.80875,18.09819955,0.1948312500000793,0.17762812500000108,0.2984460762631792,0.02455625000004147
17.0,MEDIUM,20,10,50.0,1457.9,13.65899715,6.772499999999999,20.4884955,0.24801250000002256,0.25621249999997414,-1.27562574583112,0.05668750000002547
18.0,MEDIUM,20,11,55.0,574.5699999999999,6.4895734,4.5125,9.73436005,0.07892499999999927,0.10479374999998983,-0.5400946036932341,0.07066250000001674
19.0,MEDIUM,20,10,50.0,975.5699999999999,10.97828725,6.48625,16.46743085,0.17344374999998763,0.1787218749999829,-1.0631974672677589,0.08988125000001675
20.0,MEDIUM,20,11,55.0,812.2299999999999,10.38472355,6.26375,15.57708525,0.13739375000002838,0.16606249999998907,-0.6822382743535576,0.05985624999999345
21.0,LOW,20,6,30.0,-1074.1599999999999,9.7243826,5.59375,14.5865738,0.15766875000001163,0.17699687500000436,-1.2347549068552017,-0.011943749999991269
22.0,MEDIUM,20,9,45.0,29.369999999999948,8.98601795,5.71,13.479026999999999,0.10975625000000946,0.11906562500002109,-0.710154957452601,0.08150625000000218
23.0,MEDIUM,20,8,40.0,-270.26000000000005,13.902802500000002,6.90375,20.854203599999998,0.21106874999997674,0.2039343749999989,-2.2093551047850504,-0.07946875000001455
24.0,MEDIUM,20,11,55.0,1727.06,11.5075796,6.828749999999999,17.26136945,0.19851875000005748,0.1982375000000229,-1.3760447577565738,0.06739375000002838
25.0,MEDIUM,20,11,55.0,1774.3400000000001,8.82748335,5.1762500000000005,13.24122495,0.1309499999999389,0.1237249999999858,-1.1048816205845067,0.037162500000013095
26.0,LOW,20,6,30.0,-1508.42,13.28431445,6.52125,19.92647155,0.20991250000000944,0.19784687499998654,-0.7581752484732642,-0.06710000000000946
27.0,MEDIUM,20,9,45.0,-47.3599999999999,11.890343099999999,6.34375,17.8355146,0.18633749999999055,0.19939062500001453,-2.135579756023958,-0.058462500000041474
28.0,LOW,20,6,30.0,-1366.86,10.0039644,4.9087499999999995,15.005946549999999,0.15451875000004295,0.15347499999999853,-0.6768096839601353,0.08680625000002692
29.0,LOW,20,7,35.0,188.22,9.6637643,5.77125,14.495646400000002,0.14289374999996654,0.11881562500001563,-1.4597125194507286,-0.012968749999999996
30.0,LOW,20,4,20.0,-2252.61,10.6158079,5.8,15.923711700000002,0.1567500000000109,0.1989562500000102,-0.8522882792821921,-0.022625000000061846
31.0,MEDIUM,20,11,55.0,1997.81,13.328476649999999,6.39,19.992714799999998,0.20685000000001308,0.21730312500000765,-0.7043491994334729,-0.019637499999989823
