sub_config,target_mode,switchback,sub_cb_n,total_trades,main_trades,sub_trades,total_pnl,win_day_pct,worst_day,max_drawdown,pnl_dd_ratio,ev_per_trade,sub_win_rate,sub_ev_per_trade,sub_cb_fires
B_si1.0_so3.0,1.5x,R5,3,1863,1361,502,12892.24,51.7,-3270.91,14300.17,0.902,6.92,61.0,31.65,17
B_si1.0_so3.0,main_band_width,R5,3,1863,1361,502,12892.24,51.7,-3270.91,14300.17,0.902,6.92,61.0,31.65,17
B_si1.0_so3.0,1.5x,sub_cb_only,0,1270,278,992,14226.46,51.7,-3655.67,17430.9,0.816,11.2,59.8,18.32,0
B_si1.0_so3.0,main_band_width,sub_cb_only,0,1270,278,992,14226.46,51.7,-3655.67,17430.9,0.816,11.2,59.8,18.32,0
B_si1.0_so3.0,3.0x,R1,3,2199,2095,104,19851.19,46.7,-3856.74,24491.36,0.811,9.03,44.2,-4.05,10
A_si0.5_so1.25,1.5x,sub_cb_only,0,2844,278,2566,11557.88,46.7,-3025.83,14264.4,0.81,4.06,56.1,6.04,0
A_si0.5_so1.25,3.0x,sub_cb_only,0,1813,278,1535,13370.66,46.7,-3462.0,17906.96,0.747,7.37,39.3,11.28,0
A_si0.5_so1.25,main_band_width,sub_cb_only,0,1813,278,1535,13370.66,46.7,-3462.0,17906.96,0.747,7.37,39.3,11.28,0
B_si1.0_so3.0,3.0x,R1,0,2156,2046,110,17756.32,45.0,-3856.74,26210.35,0.677,8.24,42.7,-28.71,0
B_si1.0_so3.0,3.0x,sub_cb_only,2,1673,1403,270,-643.93,45.0,-3492.15,20190.35,-0.032,-0.38,43.0,12.63,54
B_si1.0_so3.0,3.0x,R5,2,1687,1426,261,-724.19,45.0,-3492.15,20326.59,-0.036,-0.43,43.3,13.22,51
