block_class,pre_std100,pre_avg_range_10,pre_avg_duration_10,pre_range_bw_ratio,pre_band_width,pre_ema_position,pre_price_position,pre_stddev_ratio,pre_hour,precursor_win_rate,lookback,n_blocks
HIGH,17.87247496153846,10.5025,14.720769230769232,0.4254014461538462,26.808712469230766,0.4653331230769231,0.5414711846153846,0.33736028461538464,11.515384615384615,40.76923076923077,10-trade,13
LOW,15.701159633333333,8.196319444444445,15.056388888888888,0.3896084083333333,23.551739402777777,0.48426295555555554,0.4557889305555556,0.36638565,11.022222222222222,49.166666666666664,10-trade,36
MEDIUM,14.799582711904762,8.174523809523809,15.270238095238096,0.4036358511904762,22.199374032142856,0.494879925,0.4941826238095238,0.372720530952381,11.355952380952381,42.5,10-trade,84
HIGH,20.14670183076923,10.572692307692307,13.52,0.3827497230769231,30.22005276923077,0.5086028307692307,0.6721383230769231,0.34952961538461536,11.553846153846154,32.30769230769231,5-trade,13
LOW,16.037389044444446,8.399305555555555,14.82611111111111,0.3878344777777778,24.056083505555556,0.4537427555555556,0.39264441666666666,0.3698591,10.855555555555556,53.888888888888886,5-trade,36
MEDIUM,13.975733835714285,8.046904761904763,15.517857142857142,0.41301391666666665,20.963600707142856,0.49138779047619047,0.5190387333333333,0.35909223809523805,11.27142857142857,41.666666666666664,5-trade,84
