block_num,trade_start,trade_end,wins,losses,win_rate,total_pnl,class,std100,avg_range_10,avg_duration_10,band_width,range_bw_ratio,ema_position,price_position,stddev_ratio,hour
47,921,940,7,13,35.0,-1434.1,LOW,18.516045,8.7225,17.535,27.774067,0.337034,0.582504,0.562889,0.323525,12.3
48,941,960,10,10,50.0,262.85,MEDIUM,8.332628,7.15375,14.76,12.498942,0.570312,0.573302,0.55372,0.206776,11.0
49,961,980,11,9,55.0,887.64,MEDIUM,8.249972,5.17125,28.75,12.374958,0.438497,0.411257,0.454204,0.426045,11.75
50,981,1000,10,10,50.0,1233.65,MEDIUM,13.206837,6.5375,15.08,19.810256,0.356714,0.538491,0.456979,0.504737,10.35
51,1001,1020,9,11,45.0,180.06,MEDIUM,10.832838,5.91875,32.345,16.249257,0.423884,0.534036,0.516281,0.40983,12.75
52,1021,1040,6,14,30.0,-1976.07,LOW,15.468982,7.83625,9.285,23.203473,0.365886,0.444521,0.369094,0.334531,10.35
53,1041,1060,8,12,40.0,-493.58,MEDIUM,14.683306,7.7575,11.63,22.024958,0.379626,0.487237,0.546048,0.351194,10.4
54,1061,1080,4,16,20.0,-2806.28,LOW,14.113237,6.65125,14.355,21.169856,0.328937,0.485834,0.540126,0.384969,10.35
55,1081,1100,6,14,30.0,-1186.07,LOW,13.132889,6.575,14.095,19.699333,0.369772,0.518302,0.468988,0.356089,9.7
56,1101,1120,4,16,20.0,-1924.18,LOW,7.513259,4.855,26.065,11.269889,0.46268,0.518168,0.493214,0.334133,11.65
57,1121,1140,8,12,40.0,-87.11,MEDIUM,11.20427,5.605,16.435,16.806406,0.3548,0.402725,0.532777,0.399877,10.5
58,1141,1160,8,12,40.0,-105.52,MEDIUM,10.494532,5.5375,18.355,15.741799,0.379929,0.653026,0.745381,0.350447,12.05
59,1161,1180,10,10,50.0,465.32,MEDIUM,8.566762,5.96625,12.71,12.850143,0.501864,0.486895,0.474613,0.338707,9.45
60,1181,1200,9,11,45.0,640.7,MEDIUM,12.850249,9.64875,25.08,19.275373,0.491158,0.501234,0.475328,0.747477,13.2
61,1201,1220,11,9,55.0,3083.85,MEDIUM,21.644338,13.975,11.56,32.466507,0.439846,0.55512,0.448878,0.498243,14.35
62,1221,1240,10,10,50.0,369.0,MEDIUM,18.471449,10.11625,8.03,27.707174,0.412841,0.64442,0.546559,0.254235,9.6
63,1241,1260,8,12,40.0,179.73,MEDIUM,19.043384,7.6775,19.93,28.565076,0.312607,0.418405,0.303003,0.510558,12.65
64,1261,1280,9,11,45.0,55.69,MEDIUM,11.753741,8.03625,13.53,17.630611,0.48922,0.40473,0.392042,0.244739,9.8
65,1281,1300,10,10,50.0,737.48,MEDIUM,14.26022,7.865,14.91,21.39033,0.424803,0.494953,0.560268,0.333953,11.85
66,1301,1320,5,15,25.0,-2295.1,LOW,14.153614,6.72,13.51,21.230421,0.349348,0.584828,0.669567,0.28404,11.9
67,1321,1340,11,9,55.0,1626.05,MEDIUM,12.826013,7.4825,19.925,19.239019,0.396244,0.488033,0.506283,0.397992,11.2
68,1341,1360,12,8,60.0,3115.33,HIGH,13.79656,7.225,20.805,20.694841,0.412301,0.485063,0.492747,0.42082,11.9
69,1361,1380,7,13,35.0,-1127.29,LOW,13.303007,7.86125,14.24,19.954511,0.417152,0.583236,0.629881,0.279432,10.3
70,1381,1400,8,12,40.0,638.6,MEDIUM,14.969355,7.48375,16.61,22.454033,0.349626,0.424574,0.43746,0.383515,13.2
71,1401,1420,9,11,45.0,184.99,MEDIUM,16.301713,8.6975,11.86,24.452569,0.37277,0.407323,0.433634,0.362807,10.65
72,1421,1440,9,11,45.0,-592.9,MEDIUM,12.791826,8.8775,15.075,19.187738,0.489175,0.47193,0.52294,0.302971,10.85
73,1441,1460,9,11,45.0,416.31,MEDIUM,12.402949,5.815,22.77,18.604423,0.378024,0.429218,0.397823,0.271037,12.25
74,1461,1480,8,12,40.0,-1163.91,MEDIUM,18.552069,8.89375,6.525,27.828104,0.36213,0.417103,0.380069,0.27042,9.85
75,1481,1500,9,11,45.0,1116.31,MEDIUM,17.046345,10.54375,11.155,25.569517,0.420913,0.470807,0.458194,0.306925,11.15
76,1501,1520,6,14,30.0,-2227.53,LOW,22.514406,9.175,12.845,33.771609,0.300301,0.507458,0.439087,0.507839,12.1
77,1521,1540,7,13,35.0,-1896.22,LOW,19.970947,10.98875,7.23,29.956421,0.394201,0.474007,0.593375,0.357581,9.8
78,1541,1560,7,13,35.0,-1973.66,LOW,15.237505,7.86,11.04,22.856258,0.367444,0.530185,0.461911,0.25602,10.15
79,1561,1580,9,11,45.0,599.55,MEDIUM,11.866252,7.35625,12.375,17.799377,0.430824,0.514286,0.412378,0.23499,10.55
80,1581,1600,12,8,60.0,2980.48,HIGH,12.070929,6.03,20.71,18.106393,0.380084,0.541677,0.577231,0.287718,13.0
81,1601,1620,11,9,55.0,819.62,MEDIUM,9.430424,6.37,12.555,14.145637,0.461044,0.527587,0.418133,0.1893,11.4
82,1621,1640,7,13,35.0,-451.68,LOW,16.219401,7.39125,12.615,24.329101,0.360856,0.4476,0.399064,0.537814,10.45
83,1641,1660,9,11,45.0,511.65,MEDIUM,12.069291,7.1025,22.21,18.103936,0.419654,0.52805,0.661018,0.321987,13.1
84,1661,1680,4,16,20.0,-3923.37,LOW,14.53929,7.62625,18.61,21.808935,0.438113,0.398491,0.320351,0.237728,11.55
85,1681,1700,6,14,30.0,-2484.17,LOW,20.619634,10.5,4.985,30.929451,0.404419,0.489837,0.483848,0.257219,9.4
86,1701,1720,9,11,45.0,1000.84,MEDIUM,22.493733,10.39875,7.475,33.740599,0.326294,0.409815,0.56744,0.345399,10.2
87,1721,1740,7,13,35.0,-1357.78,LOW,18.691384,9.04375,13.545,28.037076,0.347615,0.50497,0.459458,0.363174,12.1
