offset_ticks,total_trades,net_pnl,up_days,down_days,flat_days,trading_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_maxdd_ratio,win_rate_pct,ev_per_trade,stepup_fired,stepup_fired_pct,stepup_stop_hit,target_after_stepup
-40,4752,2378.57,29,31,0,60,48.33,2741.96,-2488.34,-9641.72,19969.75,0.1191,41.94,0.5,2608,54.88,584,1348
-20,5146,-6459.07,30,30,0,60,50.0,2470.9,-2686.2,-10055.37,22380.46,-0.2886,40.34,-1.26,2846,55.31,916,1381
-10,5473,-7464.44,30,30,0,60,50.0,2454.25,-2703.07,-9778.16,22675.19,-0.3292,41.97,-1.36,3072,56.13,1229,1369
0,5865,-11202.25,31,29,0,60,51.67,2276.21,-2819.48,-8751.08,29241.09,-0.3831,47.25,-1.91,3374,57.53,1847,1194
10,6083,-10511.58,32,28,0,60,53.33,2094.67,-2769.33,-9148.9,26242.89,-0.4005,52.05,-1.73,3545,58.28,2291,1032
20,6171,-3654.86,33,27,0,60,55.0,2092.17,-2692.47,-9359.44,20323.15,-0.1798,53.96,-0.59,3612,58.53,2602,857
40,6240,5836.36,33,27,0,60,55.0,2336.68,-2639.78,-9898.08,18160.54,0.3214,54.82,0.94,3667,58.77,3005,583
none,4430,28901.84,33,27,0,60,55.0,2650.52,-2169.09,-7319.52,9894.39,2.921,44.09,6.52,0,0.0,0,0
