lookback,inner_mult,outer_mult,martingale,total_trades,total_pnl,up_days,down_days,flat_days,trading_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_maxdd_ratio,largest_single_loss,ev_per_trade,profit_factor,trades_per_day
75,1.0,2.5,m1.5_max2,3926,4451.82,31,29,0,60,51.67,3967.33,-4087.43,-10833.85,34021.47,0.1309,-3153.11,1.13,1.0037,65.43
20,1.5,3.0,m2.0_max2,10928,1795.28,31,29,0,60,51.67,5042.95,-5328.83,-17383.52,39889.51,0.045,-2181.49,0.16,1.0007,182.13
30,1.25,3.0,none,7591,1101.61,31,29,0,60,51.67,2828.28,-2985.34,-7421.67,28455.65,0.0387,-1331.68,0.15,1.0009,126.52
50,0.75,1.5,none,9000,836.47,31,29,0,60,51.67,2424.76,-2563.14,-11559.32,21781.76,0.0384,-838.86,0.09,1.0008,150.0
20,0.5,2.0,none,20774,555.63,31,29,0,60,51.67,3002.48,-3190.39,-9653.63,22003.93,0.0253,-1043.96,0.03,1.0003,346.23
20,1.5,2.5,m1.5_max2,14016,118.06,31,29,0,60,51.67,4664.36,-4981.97,-19406.01,37195.97,0.0032,-1674.69,0.01,1.0001,233.6
75,1.25,1.75,m1.5_max2,6355,60442.59,30,30,0,60,50.0,5721.62,-3706.87,-14557.75,28007.03,2.1581,-1497.51,9.51,1.0449,105.92
50,0.75,2.5,none,7039,34022.7,30,30,0,60,50.0,3690.42,-2556.33,-8162.72,19183.72,1.7735,-1949.63,4.83,1.0291,117.32
30,1.0,1.5,m2.0_max2,12609,32011.62,30,30,0,60,50.0,4099.87,-3032.81,-12300.39,19048.17,1.6806,-929.4,2.54,1.0188,210.15
20,0.75,1.5,m2.0_max2,16590,35160.69,30,30,0,60,50.0,4802.67,-3630.65,-22419.84,26762.5,1.3138,-1118.04,2.12,1.0175,276.5
75,1.0,1.75,m2.0_max2,5584,28283.42,30,30,0,60,50.0,5122.56,-4179.78,-14050.58,29464.95,0.9599,-2047.85,5.07,1.0182,93.07
100,0.5,1.75,m2.0_max2,5859,34970.58,30,30,0,60,50.0,5048.72,-3883.03,-14489.6,37138.56,0.9416,-3661.14,5.97,1.0243,97.65
75,1.0,2.5,none,3926,16698.69,30,30,0,60,50.0,2912.24,-2355.61,-7432.4,20026.93,0.8338,-1576.55,4.25,1.0185,65.43
75,1.0,2.0,m2.0_max2,4835,25015.08,30,30,0,60,50.0,5071.21,-4237.38,-11509.63,34559.96,0.7238,-2293.36,5.17,1.0161,80.58
50,1.0,3.0,none,5019,14508.24,30,30,0,60,50.0,3443.67,-2960.06,-11093.35,27940.13,0.5193,-1860.05,2.89,1.0143,83.65
30,1.25,2.5,m1.5_max2,9280,11069.61,30,30,0,60,50.0,4766.96,-4397.98,-11511.53,28640.14,0.3865,-2028.0,1.19,1.0058,154.67
30,0.5,2.0,m2.0_max2,15807,14345.85,30,30,0,60,50.0,4993.07,-4514.87,-20899.73,38668.31,0.371,-2689.15,0.91,1.0062,263.45
40,1.0,2.5,none,7346,8073.81,30,30,0,60,50.0,2928.68,-2659.56,-8443.57,22244.82,0.363,-1385.19,1.1,1.0066,122.43
75,1.0,1.75,none,5584,6551.71,30,30,0,60,50.0,2581.02,-2362.63,-7372.41,20655.02,0.3172,-1023.92,1.17,1.0073,93.07
