precursor_window,block_class,n_blocks,pre_std100,pre_avg_range_10,pre_band_width,pre_abs_mean_slope_10,pre_abs_mean_slope_20,pre_bw_change_10,pre_mean_slope_10,pre_mean_slope_20,precursor_win_rate,precursor_avg_pnl
10,HIGH,13,17.87247496153846,10.5025,26.808712469230766,0.2685250000000003,0.27806249999999777,-0.9408212150627988,-0.07506923076922528,-0.09331153846152469,40.76923076923077,-18.298461538461535
10,MEDIUM,84,14.799582711904762,8.174523809523809,22.199374032142856,0.21737842261904997,0.2266488839285707,-0.9325744197635449,0.006047172619045381,0.01162343749999676,42.5,0.1734880952380967
10,LOW,36,15.70115963333333,8.196319444444446,23.55173940277778,0.24011597222222006,0.2396213541666677,-0.9309831863741951,-0.013557638888888605,-0.010082812500000328,49.166666666666664,42.71055555555555
5,HIGH,13,20.14670183076923,10.572692307692307,30.22005276923077,0.3133750000000033,0.33286634615384875,-0.1751812534399944,-0.005809615384624999,-0.030277884615371946,32.30769230769231,-67.53123076923076
5,MEDIUM,84,13.975733835714282,8.046904761904763,20.963600707142856,0.21456279761905273,0.22086562499999798,-1.1258162460333825,-0.003044345238098079,-0.0020593750000019472,41.666666666666664,0.32859523809524
5,LOW,36,16.037389044444442,8.399305555555555,24.05608350555555,0.23905347222222792,0.22751770833333262,-1.1215413803527363,-0.08800902777776069,-0.08347951388888457,53.888888888888886,85.90572222222222
