cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
304,2025-W40,WEAKEST,2025-09-29 10:52:40,2025-09-29 10:53:15,SHORT,24958.0,24948.0,REVERSAL,0,1,40.0,196.5,352,40.0,3.0,2
305,2025-W40,WEAKEST,2025-09-29 10:57:16,2025-09-29 11:00:36,LONG,24926.5,24936.75,REVERSAL,0,1,41.0,201.5,3177,41.0,16.0,14
306,2025-W40,WEAKEST,2025-09-29 11:01:33,2025-09-29 11:06:15,SHORT,24941.0,24931.0,REVERSAL,0,1,40.0,196.5,2913,40.0,7.0,12
307,2025-W40,WEAKEST,2025-09-29 11:07:01,2025-09-29 11:08:01,SHORT,24935.25,24925.25,REVERSAL,0,1,40.0,196.5,564,40.0,2.0,3
308,2025-W40,WEAKEST,2025-09-29 11:10:37,2025-09-29 11:11:34,SHORT,24918.5,24908.5,REVERSAL,0,1,40.0,196.5,903,40.0,4.0,4
309,2025-W40,WEAKEST,2025-09-29 11:12:20,2025-09-29 11:16:31,LONG,24894.75,24874.75,HARD_STOP,1,2,-120.0,-607.0,7477,29.0,60.0,30
310,2025-W40,WEAKEST,2025-09-29 11:16:46,2025-09-29 11:17:31,SHORT,24889.25,24879.25,REVERSAL,0,1,40.0,196.5,1037,40.0,2.0,5
311,2025-W40,WEAKEST,2025-09-29 11:21:30,2025-09-29 11:24:28,SHORT,24882.25,24882.25,REVERSAL,1,2,40.0,193.0,4083,29.0,40.0,17
312,2025-W40,WEAKEST,2025-09-29 11:25:15,2025-09-29 11:25:43,SHORT,24882.25,24872.25,REVERSAL,0,1,40.0,196.5,549,40.0,0.0,3
313,2025-W40,WEAKEST,2025-09-29 11:28:48,2025-09-29 11:30:17,LONG,24864.0,24874.0,REVERSAL,0,1,40.0,196.5,1789,40.0,9.0,8
314,2025-W40,WEAKEST,2025-09-29 11:30:17,2025-09-29 11:30:29,SHORT,24874.0,24863.75,REVERSAL,0,1,41.0,201.5,349,41.0,0.0,2
315,2025-W40,WEAKEST,2025-09-29 11:34:34,2025-09-29 11:35:04,LONG,24853.5,24863.5,REVERSAL,0,1,40.0,196.5,435,40.0,2.0,3
316,2025-W40,WEAKEST,2025-09-29 11:37:38,2025-09-29 11:38:44,LONG,24852.75,24862.75,REVERSAL,0,1,40.0,196.5,1200,40.0,5.0,5
317,2025-W40,WEAKEST,2025-09-29 11:40:51,2025-09-29 11:42:34,LONG,24852.0,24862.25,REVERSAL,0,1,41.0,201.5,1303,41.0,7.0,6
318,2025-W40,WEAKEST,2025-09-29 11:46:00,2025-09-29 11:50:29,LONG,24859.0,24839.0,HARD_STOP,1,2,-120.0,-607.0,4488,24.0,60.0,19
319,2025-W40,WEAKEST,2025-09-29 11:51:30,2025-09-29 11:52:15,SHORT,24851.0,24841.0,REVERSAL,0,1,40.0,196.5,594,40.0,12.0,3
320,2025-W40,WEAKEST,2025-09-29 11:54:15,2025-09-29 11:55:53,SHORT,24842.25,24842.25,REVERSAL,1,2,40.0,193.0,1828,20.0,40.0,8
321,2025-W40,WEAKEST,2025-09-29 11:56:27,2025-09-29 11:57:01,LONG,24832.25,24842.25,REVERSAL,0,1,40.0,196.5,548,40.0,0.0,3
322,2025-W40,WEAKEST,2025-09-29 12:00:15,2025-09-29 12:01:14,SHORT,24855.75,24845.75,REVERSAL,0,1,40.0,196.5,1168,40.0,3.0,5
