week,category,filter,window,threshold,cycles,wins,wr,stops,sr,revs,eods,pnl,er,retention,delta_sr,delta_pnl
W44,GOOD,dir|0.7,500,0.7,186,141,0.7581,40,0.2151,141,5,17991.5,96.7285,1.0,0.0,0.0
W40,GOOD,baseline,-,-,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,,,
W40,GOOD,both|0.3,250,0.3,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,dir|0.3,250,0.3,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,both|0.5,250,0.5,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,dir|0.5,250,0.5,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,both|0.7,250,0.7,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,dir|0.7,250,0.7,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,both|0.3,500,0.3,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,dir|0.3,500,0.3,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,both|0.5,500,0.5,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,dir|0.5,500,0.5,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,both|0.7,500,0.7,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
W40,GOOD,dir|0.7,500,0.7,115,88,0.7652,24,0.2087,86,5,11651.0,101.313,1.0,0.0,0.0
