speed_bucket,Q1_narrow,Q2,Q3,Q4,Q5_wide
fast,9546,10200,8984,9321,8974
moderate,11826,11550,9612,8980,7484
slow,4490,3706,3107,3634,5090
very_slow,692,1478,2005,3018,3808
