speed_bucket,count,avg_range,avg_abs_co,avg_duration,median_duration,pct_of_total
fast,47025,8.444354066985646,4.506836788942052,5.739445813545986,5.875999,36.88
moderate,49452,7.883857073525843,4.25250748200275,17.20044192139853,16.038999500000003,38.78
slow,20027,8.986193638587906,4.852199530633644,57.21675323802866,47.796003,15.71
very_slow,11001,10.4448459230979,5.569720934460504,241.023405669121,203.446001,8.63
