filter,n,retention,wr,sr,er,pnl
Track_A,6624,1.0,0.8321,0.1668,63.22,418785.00
fc<0.4,6496,0.9807,0.8507,0.1482,78.16,507737.00
fc<0.5,6560,0.9903,0.8473,0.1514,75.55,495586.00
fc<0.6,6601,0.9965,0.8452,0.1541,73.62,485973.00
fc<0.7,6616,0.9988,0.8410,0.1583,70.27,464905.00
fc<0.7+fs<0.3,5431,0.8199,0.8669,0.1322,91.08,494646.00
fc<0.7+fs<0.5,5661,0.8546,0.8629,0.1362,87.88,497472.00
fc<0.5+fs<0.5,5604,0.8460,0.8660,0.1324,90.63,507917.00
